RAW DATA,,,,,,,,,,,,,,,,,,,
,Cluster Size,1 (Uniform),2 (Uniform),3 (Uniform),,1 (Weighted),2 (Weighted),3 (Weighted),6 (Weighted),,Cluster Size,1 (Uniform),2 Uniform,3 (Uniform),Column1,1 Wieghted,2 Weighted,3 Weighted,6 Weighted
,,6,4,7,,6.00E+00,3,4,5.00E+00,,,,,,,,,,
,,6,4,6,,7.00E+00,6,4,4.00E+00,,,,,,,,,,
,,5,3,6,,6.00E+00,4,3,3.00E+00,,,,,,,,,,
,,6,6,5,,7.00E+00,4,4,5.00E+00,,,,,,,,,,
,,11,8,8,,1.10E+01,6,5,7.00E+00,,,,,,,,,,
,,4,4,4,,7.00E+00,4,5,6.00E+00,,,,,,,,,,
,,8,10,7,,1.30E+01,11,9,8.00E+00,,,,,,,,,,
,,5,8,6,,9.00E+00,8,5,1.00E+01,,,,,,,,,,
,,6,7,3,,7.00E+00,5,3,5.00E+00,,,,,,,,,,
,,6,8,7,,1.00E+01,8,7,8.00E+00,,,,,,,,,,
,,10,6,5,,9.00E+00,6,6,9.00E+00,,,,,,,,,,
,,6,4,5,,7.00E+00,5,4,4.00E+00,,,,,,,,,,
,,3,4,3,,7.00E+00,4,3,2.00E+00,,,,,,,,,,
,,3,4,2,,5.00E+00,2,4,4.00E+00,,,,,,,,,,
,,5,4,6,,7.00E+00,6,3,9.00E+00,,,,,,,,,,
,,7,5,6,,4.00E+00,5,4,8.00E+00,,,,,,,,,,
,,4,4,6,,7.00E+00,3,6,2.00E+00,,,,,,,,,,
,,10,7,10,,1.00E+01,11,7,7.00E+00,,,,,,,,,,
,,7,4,5,,8.00E+00,6,4,6.00E+00,,,,,,,,,,
,,9,7,8,,7.00E+00,7,6,7.00E+00,,,,,,,,,,
,,6,3,8,,6.00E+00,6,4,7.00E+00,,,,,,,,,,
,,3,3,4,,5.00E+00,3,3,4.00E+00,,,,,,,,,,
,,5,3,2,,8.00E+00,4,3,4.00E+00,,,,,,,,,,
,,5,4,6,,7.00E+00,6,5,2.00E+00,,,,,,,,,,
,,8,4,8,,6.00E+00,5,5,4.00E+00,,,,,,,,,,
,,8,6,7,,7.00E+00,4,5,5.00E+00,,,,,,,,,,
,,8,5,6,,8.00E+00,6,7,8.00E+00,,,,,,,,,,
,,4,5,5,,6.00E+00,5,3,4.00E+00,,,,,,,,,,
,,10,9,7,,1.20E+01,7,7,6.00E+00,,,,,,,,,,
,,5,3,5,,6.00E+00,6,5,5.00E+00,,,,,,,,,,
,,10,6,5,,6.00E+00,6,6,5.00E+00,,,,,,,,,,
,,8,6,9,,8.00E+00,5,7,6.00E+00,,,,,,,,,,
,,6,7,5,,9.00E+00,6,7,1.00E+01,,,,,,,,,,
,,8,5,5,,5.00E+00,3,5,4.00E+00,,,,,,,,,,
,,6,6,6,,9.00E+00,7,4,7.00E+00,,,,,,,,,,
,,3,5,4,,8.00E+00,8,2,3.00E+00,,,,,,,,,,
,,8,4,6,,7.00E+00,6,3,6.00E+00,,,,,,,,,,
,,6,3,7,,8.00E+00,8,6,4.00E+00,,,,,,,,,,
,,8,7,7,,7.00E+00,4,3,6.00E+00,,,,,,,,,,
,,7,4,6,,6.00E+00,4,5,7.00E+00,,,,,,,,,,
,,9,9,9,,1.40E+01,8,7,9.00E+00,,,,,,,,,,
,,7,5,10,,7.00E+00,5,8,4.00E+00,,,,,,,,,,
,,7,4,6,,8.00E+00,5,3,5.00E+00,,,,,,,,,,
,,7,6,8,,8.00E+00,4,8,8.00E+00,,,,,,,,,,
,,4,4,4,,8.00E+00,4,4,3.00E+00,,,,,,,,,,
,,6,6,4,,8.00E+00,8,3,6.00E+00,,,,,,,,,,
,,5,6,4,,9.00E+00,6,5,8.00E+00,,,,,,,,,,
,,9,7,10,,9.00E+00,9,6,8.00E+00,,,,,,,,,,
,,5,4,4,,6.00E+00,3,3,3.00E+00,,,,,,,,,,
